Glom_name,Prediction_['SEGM']
R23_222_1A1_IgG-FITC_glomerulo_001.png,0
R23_222_1A1_IgG-FITC_glomerulo_002.png,1
R23_222_1A1_C1q-FITC_glomerulo_001.png,0
R23_222_1A1_C1q-FITC_glomerulo_004.png,1
R23_222_1A1_C1q-FITC_glomerulo_003.png,1
R23_222_1A1_C1q-FITC_glomerulo_002.png,1
R23_222_1A1_C1q-FITC_glomerulo_006.png,1
R23_222_1A1_C1q-FITC_glomerulo_005.png,1
R23_284_1A1_IGG-FITC_glomerulo_001.png,1
R23_284_1A1_IGG-FITC_glomerulo_002.png,1
R23_284_1A1_IGG-FITC_glomerulo_003.png,1
R22-170 IgG_glomerulo_001.png,0
R22-170 IgG_glomerulo_002.png,0
R23_195_2A1_IgA-FITC_glomerulo_001.png,0
R23_195_2A1_IgA-FITC_glomerulo_003.png,0
R23_195_2A1_IgA-FITC_glomerulo_002.png,0
R23_195_2A1_C1q-FITC_glomerulo_001.png,0
R23_195_2A1_IgM-FITC_glomerulo_003.png,0
R23_195_2A1_IgM-FITC_glomerulo_002.png,0
R23_195_2A1_IgM-FITC_glomerulo_001.png,0
R23_267_2A1_IGG-FITC_glomerulo_002.png,1
R23_267_2A1_IGG-FITC_glomerulo_001.png,0
R23_267_2A1_IGG-FITC_glomerulo_003.png,0
R23_267_2A1_IGG-FITC_glomerulo_005.png,0
R23_267_2A1_IGG-FITC_glomerulo_004.png,0
R22-93 IgA_glomerulo_005.png,0
R22-93 IgA_glomerulo_004.png,0
R22-93 IgA_glomerulo_002.png,0
R22-93 IgA_glomerulo_003.png,0
R22-93 IgA_glomerulo_001.png,0
R24_25_2A1_LAMBDA-FITC_glomerulo_001.png,0
R24_25_2A1_C3-FITC_glomerulo_001.png,1
R24_25_2A1_IGA-FITC_glomerulo_001.png,0
R24_20_1C5_C3c-FITC_glomerulo_001.png,1
R23_281_2A1_IgM-FITC_glomerulo_001.png,0
R23_281_2A1_IgM-FITC_glomerulo_005.png,0
R23_281_2A1_IgM-FITC_glomerulo_006.png,1
R23_281_2A1_IgM-FITC_glomerulo_003.png,0
R23_281_2A1_IgM-FITC_glomerulo_002.png,0
R23_281_2A1_IgM-FITC_glomerulo_004.png,0
R23_281_2A1_IgA-FITC_glomerulo_002.png,0
R23_281_2A1_IgA-FITC_glomerulo_001.png,1
R23_281_2A1_C3-FITC_glomerulo_002.png,1
R23_281_2A1_C3-FITC_glomerulo_005.png,0
R23_281_2A1_C3-FITC_glomerulo_004.png,0
R23_281_2A1_C3-FITC_glomerulo_003.png,0
R23_281_2A1_C3-FITC_glomerulo_001.png,1
R23_281_2A1_C1q-FITC_glomerulo_003.png,0
R23_281_2A1_C1q-FITC_glomerulo_005.png,1
R23_281_2A1_C1q-FITC_glomerulo_001.png,1
R23_281_2A1_C1q-FITC_glomerulo_002.png,0
R23_281_2A1_C1q-FITC_glomerulo_004.png,0
R23_281_2A1_C1q-FITC_glomerulo_006.png,1
R23_281_2A1_IGG-FITC_glomerulo_001.png,0
R23_281_2A1_IGG-FITC_glomerulo_003.png,0
R23_281_2A1_IGG-FITC_glomerulo_004.png,0
R23_281_2A1_IGG-FITC_glomerulo_002.png,0
R23_255_2A1_C3-FITC_glomerulo_005.png,0
R23_255_2A1_C3-FITC_glomerulo_001.png,0
R23_255_2A1_C3-FITC_glomerulo_016.png,0
R23_255_2A1_C3-FITC_glomerulo_010.png,0
R23_255_2A1_C3-FITC_glomerulo_004.png,0
R23_255_2A1_C3-FITC_glomerulo_002.png,0
R23_255_2A1_C3-FITC_glomerulo_008.png,0
R23_255_2A1_C3-FITC_glomerulo_011.png,0
R23_255_2A1_C3-FITC_glomerulo_012.png,0
R23_255_2A1_C3-FITC_glomerulo_015.png,1
R23_255_2A1_C3-FITC_glomerulo_006.png,0
R23_255_2A1_C3-FITC_glomerulo_013.png,0
R23_255_2A1_C3-FITC_glomerulo_007.png,0
R23_255_2A1_C3-FITC_glomerulo_009.png,0
R23_255_2A1_C3-FITC_glomerulo_014.png,1
R23_255_2A1_C3-FITC_glomerulo_003.png,0
R23_199_2A1_IgA-FITC_glomerulo_001.png,0
R23_199_2A1_C3-FITC_glomerulo_006.png,0
R23_199_2A1_C3-FITC_glomerulo_002.png,0
R23_199_2A1_C3-FITC_glomerulo_003.png,0
R23_199_2A1_C3-FITC_glomerulo_001.png,1
R23_199_2A1_C3-FITC_glomerulo_005.png,0
R23_199_2A1_C3-FITC_glomerulo_004.png,0
R22-131 IgG_glomerulo_006.png,0
R22-131 IgG_glomerulo_005.png,0
R22-131 IgG_glomerulo_002.png,0
R22-131 IgG_glomerulo_008.png,0
R22-131 IgG_glomerulo_010.png,0
R22-131 IgG_glomerulo_009.png,0
R22-131 IgG_glomerulo_012.png,0
R22-131 IgG_glomerulo_001.png,0
R22-131 IgG_glomerulo_003.png,0
R22-131 IgG_glomerulo_007.png,0
R22-131 IgG_glomerulo_011.png,0
R22-131 IgG_glomerulo_004.png,0
R22-131 C3_glomerulo_009.png,0
R22-131 C3_glomerulo_001.png,1
R22-131 C3_glomerulo_003.png,1
R22-131 C3_glomerulo_002.png,1
R22-131 C3_glomerulo_005.png,0
R22-131 C3_glomerulo_007.png,0
R22-131 C3_glomerulo_006.png,0
R22-131 C3_glomerulo_011.png,0
R22-131 C3_glomerulo_004.png,1
R22-131 C3_glomerulo_008.png,0
R22-131 C3_glomerulo_010.png,0
R23_217_1A1_IgG-FITC_glomerulo_003.png,0
R23_217_1A1_IgG-FITC_glomerulo_005.png,1
R23_217_1A1_IgG-FITC_glomerulo_010.png,0
R23_217_1A1_IgG-FITC_glomerulo_002.png,0
R23_217_1A1_IgG-FITC_glomerulo_009.png,0
R23_217_1A1_IgG-FITC_glomerulo_011.png,0
R23_217_1A1_IgG-FITC_glomerulo_001.png,0
R23_217_1A1_IgG-FITC_glomerulo_006.png,0
R23_217_1A1_IgG-FITC_glomerulo_004.png,0
R23_217_1A1_IgG-FITC_glomerulo_008.png,1
R23_217_1A1_IgG-FITC_glomerulo_007.png,0
R24_20_1C2_IgA-FITC_glomerulo_001.png,0
R23_262_2A1_C3-FITC_glomerulo_002.png,0
R23_262_2A1_C3-FITC_glomerulo_006.png,0
R23_262_2A1_C3-FITC_glomerulo_003.png,0
R23_262_2A1_C3-FITC_glomerulo_005.png,0
R23_262_2A1_C3-FITC_glomerulo_001.png,0
R23_262_2A1_C3-FITC_glomerulo_004.png,1
R23_262_2A1_IgG-FITC_glomerulo_003.png,0
R23_262_2A1_IgG-FITC_glomerulo_004.png,1
R23_262_2A1_IgG-FITC_glomerulo_001.png,0
R23_262_2A1_IgG-FITC_glomerulo_002.png,0
R23_262_2A1_C1q-FITC_glomerulo_004.png,0
R23_262_2A1_C1q-FITC_glomerulo_005.png,0
R23_262_2A1_C1q-FITC_glomerulo_003.png,0
R23_262_2A1_C1q-FITC_glomerulo_006.png,0
R23_262_2A1_C1q-FITC_glomerulo_001.png,0
R23_262_2A1_C1q-FITC_glomerulo_002.png,0
R23_262_2A1_IgA-FITC_glomerulo_003.png,0
R23_262_2A1_IgA-FITC_glomerulo_001.png,0
R23_262_2A1_IgA-FITC_glomerulo_004.png,0
R23_262_2A1_IgA-FITC_glomerulo_002.png,0
R23_269_1A1_IGG-FITC_glomerulo_001.png,1
R23_269_1A1_IGG-FITC_glomerulo_003.png,1
R23_269_1A1_IGG-FITC_glomerulo_006.png,1
R23_269_1A1_IGG-FITC_glomerulo_009.png,0
R23_269_1A1_IGG-FITC_glomerulo_004.png,1
R23_269_1A1_IGG-FITC_glomerulo_002.png,1
R23_269_1A1_IGG-FITC_glomerulo_005.png,1
R23_269_1A1_IGG-FITC_glomerulo_008.png,0
R23_269_1A1_IGG-FITC_glomerulo_007.png,1
R24_45_2A1_IgG-FITC_glomerulo_002.png,1
R24_45_2A1_IgG-FITC_glomerulo_003.png,1
R24_45_2A1_IgG-FITC_glomerulo_004.png,1
R24_45_2A1_IgG-FITC_glomerulo_005.png,1
R24_45_2A1_IgG-FITC_glomerulo_006.png,1
R24_45_2A1_IgG-FITC_glomerulo_007.png,0
R24_45_2A1_IgG-FITC_glomerulo_001.png,1
R24_45_2A1_IgG-FITC_glomerulo_009.png,1
R24_45_2A1_IgG-FITC_glomerulo_008.png,0
R24_45_2A1_IgM-FITC_glomerulo_004.png,0
R24_45_2A1_IgM-FITC_glomerulo_006.png,1
R24_45_2A1_IgM-FITC_glomerulo_003.png,1
R24_45_2A1_IgM-FITC_glomerulo_005.png,1
R24_45_2A1_IgM-FITC_glomerulo_001.png,1
R24_45_2A1_IgM-FITC_glomerulo_002.png,1
R24_45_2A1_C3-FITC_glomerulo_005.png,1
R24_45_2A1_C3-FITC_glomerulo_006.png,0
R24_45_2A1_C3-FITC_glomerulo_003.png,1
R24_45_2A1_C3-FITC_glomerulo_004.png,0
R24_45_2A1_C3-FITC_glomerulo_002.png,1
R24_45_2A1_C3-FITC_glomerulo_001.png,1
R24_45_2A1_IgA-FITC_glomerulo_004.png,1
R24_45_2A1_IgA-FITC_glomerulo_007.png,1
R24_45_2A1_IgA-FITC_glomerulo_002.png,1
R24_45_2A1_IgA-FITC_glomerulo_005.png,1
R24_45_2A1_IgA-FITC_glomerulo_008.png,1
R24_45_2A1_IgA-FITC_glomerulo_006.png,1
R24_45_2A1_IgA-FITC_glomerulo_001.png,0
R24_45_2A1_IgA-FITC_glomerulo_003.png,1
R24_45_2A1_C1q-FITC_glomerulo_004.png,1
R24_45_2A1_C1q-FITC_glomerulo_005.png,1
R24_45_2A1_C1q-FITC_glomerulo_001.png,1
R24_45_2A1_C1q-FITC_glomerulo_002.png,1
R24_45_2A1_C1q-FITC_glomerulo_006.png,1
R24_45_2A1_C1q-FITC_glomerulo_003.png,1
R22-119 IgG_glomerulo_001.png,0
R22-119 IgG_glomerulo_002.png,0
R22-119 IgG_glomerulo_005.png,0
R22-119 IgG_glomerulo_004.png,0
R22-119 IgG_glomerulo_006.png,0
R22-119 IgG_glomerulo_007.png,1
R22-119 IgG_glomerulo_008.png,0
R22-119 IgG_glomerulo_003.png,0
R22-117 IgG_glomerulo_011.png,0
R22-117 IgG_glomerulo_004.png,0
R22-117 IgG_glomerulo_012.png,0
R22-117 IgG_glomerulo_008.png,0
R22-117 IgG_glomerulo_005.png,0
R22-117 IgG_glomerulo_010.png,0
R22-117 IgG_glomerulo_001.png,0
R22-117 IgG_glomerulo_003.png,0
R22-117 IgG_glomerulo_007.png,0
R22-117 IgG_glomerulo_006.png,0
R22-117 IgG_glomerulo_002.png,0
R22-117 IgG_glomerulo_009.png,0
R22-117 C3_glomerulo_002.png,0
R22-117 C3_glomerulo_008.png,0
R22-117 C3_glomerulo_011.png,0
R22-117 C3_glomerulo_006.png,0
R22-117 C3_glomerulo_010.png,0
R22-117 C3_glomerulo_001.png,0
R22-117 C3_glomerulo_012.png,1
R22-117 C3_glomerulo_013.png,0
R22-117 C3_glomerulo_005.png,0
R22-117 C3_glomerulo_007.png,0
R22-117 C3_glomerulo_009.png,0
R22-117 C3_glomerulo_004.png,0
R22-117 C3_glomerulo_003.png,0
R22-117 C1q_glomerulo_012.png,0
R22-117 C1q_glomerulo_001.png,1
R22-117 C1q_glomerulo_002.png,0
R22-117 C1q_glomerulo_005.png,0
R22-117 C1q_glomerulo_007.png,0
R22-117 C1q_glomerulo_006.png,0
R22-117 C1q_glomerulo_011.png,0
R22-117 C1q_glomerulo_010.png,0
R22-117 C1q_glomerulo_008.png,0
R22-117 C1q_glomerulo_004.png,0
R22-117 C1q_glomerulo_009.png,0
R22-117 C1q_glomerulo_003.png,0
R24_44_2A1_IgG-FITC_glomerulo_001.png,0
R24_44_2A1_IgG-FITC_glomerulo_005.png,0
R24_44_2A1_IgG-FITC_glomerulo_002.png,0
R24_44_2A1_IgG-FITC_glomerulo_004.png,0
R24_44_2A1_IgG-FITC_glomerulo_003.png,0
R24_44_2A1_IgG-FITC_glomerulo_006.png,0
R22-132 IgG_glomerulo_003.png,0
R22-132 IgG_glomerulo_001.png,0
R22-132 IgG_glomerulo_007.png,0
R22-132 IgG_glomerulo_004.png,0
R22-132 IgG_glomerulo_005.png,0
R22-132 IgG_glomerulo_002.png,0
R22-132 IgG_glomerulo_006.png,0
R24_13_2A1_C3-FITC_glomerulo_001.png,0
R24_13_2A1_C3-FITC_glomerulo_002.png,1
